scope,threshold,pct_tokens_below
ALL_LAYERS,0.01,24.893775
ALL_LAYERS,0.03,47.82045
ALL_LAYERS,0.05,61.998825000000004
ALL_LAYERS,0.1,81.716325
layer_02,0.01,72.8296
layer_02,0.03,93.3228
layer_02,0.05,97.592
layer_02,0.1,99.7256
layer_03,0.01,37.9732
layer_03,0.03,66.548
layer_03,0.05,78.6408
layer_03,0.1,91.3612
layer_04,0.01,21.4628
layer_04,0.03,49.5148
layer_04,0.05,67.1486
layer_04,0.1,87.8888
layer_05,0.01,15.135000000000002
layer_05,0.03,38.048
layer_05,0.05,54.6456
layer_05,0.1,79.16720000000001
layer_06,0.01,13.860800000000001
layer_06,0.03,36.0248
layer_06,0.05,52.5362
layer_06,0.1,77.74799999999999
layer_07,0.01,11.8936
layer_07,0.03,31.1794
layer_07,0.05,46.123
layer_07,0.1,70.8514
layer_08,0.01,12.6144
layer_08,0.03,33.1882
layer_08,0.05,48.8534
layer_08,0.1,73.17439999999999
layer_09,0.01,13.3808
layer_09,0.03,34.7376
layer_09,0.05,50.451
layer_09,0.1,73.81400000000001
