checkpoint,layer,top1_match_rate,top6_overlap
540,layer_02,0.32332,0.3828153333333334
540,layer_03,0.408428,0.5460266666666667
540,layer_04,0.468484,0.5976326666666667
540,layer_05,0.52108,0.6212166666666668
540,layer_06,0.481472,0.5923846666666667
540,layer_07,0.543344,0.6304906666666666
540,layer_08,0.525576,0.632096
540,layer_09,0.505252,0.6491606666666667
1080,layer_02,0.391052,0.444918
1080,layer_03,0.502496,0.62975
1080,layer_04,0.577336,0.6911113333333334
1080,layer_05,0.629672,0.7188993333333333
1080,layer_06,0.612552,0.7051846666666668
1080,layer_07,0.653284,0.7315646666666668
1080,layer_08,0.62758,0.7327346666666666
1080,layer_09,0.601536,0.7379626666666668
1620,layer_02,0.454096,0.489928
1620,layer_03,0.574148,0.6842086666666666
1620,layer_04,0.652404,0.738926
1620,layer_05,0.68652,0.7639466666666668
1620,layer_06,0.66712,0.7549146666666666
1620,layer_07,0.703512,0.775696
1620,layer_08,0.677952,0.7756
1620,layer_09,0.657636,0.778746
2160,layer_02,0.48456,0.5185686666666667
2160,layer_03,0.611464,0.7113886666666668
2160,layer_04,0.701248,0.768704
2160,layer_05,0.725092,0.794928
2160,layer_06,0.708996,0.7899886666666668
2160,layer_07,0.741164,0.8082773333333334
2160,layer_08,0.71526,0.809158
2160,layer_09,0.695472,0.8099286666666667
2700,layer_02,0.521608,0.5466553333333333
2700,layer_03,0.647964,0.73683
2700,layer_04,0.731592,0.7933946666666667
2700,layer_05,0.757196,0.819242
2700,layer_06,0.747028,0.8177113333333333
2700,layer_07,0.771,0.832288
2700,layer_08,0.745892,0.8315900000000002
2700,layer_09,0.730324,0.8327326666666668
3240,layer_02,0.568108,0.5756373333333332
3240,layer_03,0.687712,0.7658533333333333
3240,layer_04,0.759328,0.813258
3240,layer_05,0.775928,0.83692
3240,layer_06,0.772432,0.8379313333333334
3240,layer_07,0.789268,0.8514906666666667
3240,layer_08,0.771,0.8510560000000001
3240,layer_09,0.756812,0.8518126666666668
3780,layer_02,0.585472,0.6030206666666668
3780,layer_03,0.713048,0.7857906666666666
3780,layer_04,0.785224,0.8321760000000001
3780,layer_05,0.80028,0.854164
3780,layer_06,0.793344,0.8556506666666668
3780,layer_07,0.811432,0.8676733333333335
3780,layer_08,0.794436,0.8675226666666668
3780,layer_09,0.77868,0.868358
4320,layer_02,0.639384,0.6349253333333333
4320,layer_03,0.751692,0.8041093333333333
4320,layer_04,0.801504,0.8491046666666667
4320,layer_05,0.81848,0.8682586666666667
4320,layer_06,0.815084,0.8718713333333334
4320,layer_07,0.827648,0.8813
4320,layer_08,0.81188,0.8808226666666668
4320,layer_09,0.801768,0.882642
4860,layer_02,0.680076,0.6792246666666667
4860,layer_03,0.78466,0.834496
4860,layer_04,0.824264,0.867708
4860,layer_05,0.839056,0.8848933333333334
4860,layer_06,0.834976,0.8881760000000001
4860,layer_07,0.847052,0.8959793333333333
4860,layer_08,0.835072,0.8961913333333335
4860,layer_09,0.8242,0.8979406666666667
5400,layer_02,0.908804,0.9027186666666668
5400,layer_03,0.928344,0.94332
5400,layer_04,0.940708,0.9534233333333334
5400,layer_05,0.942804,0.957982
5400,layer_06,0.94356,0.9601246666666667
5400,layer_07,0.945032,0.9623806666666668
5400,layer_08,0.940452,0.9618673333333335
5400,layer_09,0.935936,0.9621026666666668
5473,layer_02,1.0,1.0
5473,layer_03,1.0,1.0
5473,layer_04,1.0,1.0
5473,layer_05,1.0,1.0
5473,layer_06,1.0,1.0
5473,layer_07,1.0,1.0
5473,layer_08,1.0,1.0
5473,layer_09,1.0,1.0
