checkpoint,layer,norm_l1_vs_final
5000,0,0.2788048780487805
5000,1,0.18840121951219513
5000,2,0.2041780487804878
5000,3,0.20212439024390244
5000,4,0.18903658536585366
5000,5,0.20588048780487805
5000,6,0.3329865853658537
5000,7,0.27611219512195123
5000,8,0.2958560975609756
5000,9,0.26001585365853663
5000,10,0.20757560975609757
5000,11,0.2521426829268293
5000,12,0.22056219512195122
5000,13,0.24205487804878048
5000,14,0.27070365853658535
5000,15,0.33523658536585366
120000,0,0.18963658536585368
120000,1,0.12178170731707316
120000,2,0.11070853658536585
120000,3,0.10669146341463415
120000,4,0.09831463414634148
120000,5,0.12005
120000,6,0.17109146341463413
120000,7,0.14954512195121952
120000,8,0.15312439024390245
120000,9,0.14309756097560977
120000,10,0.10377926829268293
120000,11,0.12849390243902442
120000,12,0.09685487804878049
120000,13,0.07444634146341463
120000,14,0.08945487804878048
120000,15,0.17501829268292685
245000,0,0.11276829268292683
245000,1,0.09221951219512195
245000,2,0.07616707317073171
245000,3,0.07855243902439024
245000,4,0.07696097560975611
245000,5,0.0956060975609756
245000,6,0.12381219512195121
245000,7,0.10724146341463414
245000,8,0.1105951219512195
245000,9,0.10188780487804877
245000,10,0.07692560975609755
245000,11,0.0978109756097561
245000,12,0.06886707317073171
245000,13,0.06369634146341463
245000,14,0.07122560975609755
245000,15,0.12921097560975614
490000,0,0.08113170731707317
490000,1,0.05741463414634146
490000,2,0.053949999999999984
490000,3,0.059426829268292666
490000,4,0.07157439024390243
490000,5,0.07465000000000001
490000,6,0.06981219512195122
490000,7,0.07490121951219512
490000,8,0.07541341463414634
490000,9,0.0629109756097561
490000,10,0.04619268292682927
490000,11,0.060604878048780494
490000,12,0.0514329268292683
490000,13,0.04962439024390244
490000,14,0.048642682926829266
490000,15,0.08039512195121952
final,0,0.0
final,1,0.0
final,2,0.0
final,3,0.0
final,4,0.0
final,5,0.0
final,6,0.0
final,7,0.0
final,8,0.0
final,9,0.0
final,10,0.0
final,11,0.0
final,12,0.0
final,13,0.0
final,14,0.0
final,15,0.0
