layer,checkpoint,cosine_vs_final,norm_l1_vs_final,cosine_vs_next,norm_l1_vs_next
layer_02,540,0.9896644234615927,0.10855333333333334,0.9819173361991733,0.14314533333333335
layer_02,1080,0.9911912260408996,0.11068133333333333,0.9878028811505477,0.125688
layer_02,1620,0.9952836204464756,0.083728,0.9885152251461132,0.12532666666666667
layer_02,2160,0.9911248483410062,0.10200133333333335,0.9783177650231096,0.15965733333333332
layer_02,2700,0.9846484217134884,0.14150000000000001,0.9783869866049626,0.154372
layer_02,3240,0.9886930267751854,0.12610266666666667,0.9772287507594118,0.1766106666666667
layer_02,3780,0.9836377067459222,0.14762933333333336,0.978840537506803,0.15823333333333334
layer_02,4320,0.9865030504804206,0.13100266666666666,0.9793038204605313,0.16899733333333333
layer_02,4860,0.9868751789494163,0.1360613333333333,0.9855898952392869,0.13651333333333332
layer_02,5400,0.9970299055432061,0.058737333333333336,0.9970299055432061,0.058737333333333336
layer_02,5473,1.0,0.0,,
layer_03,540,0.9947818461710886,0.07599733333333332,0.9915692089659681,0.10076399999999999
layer_03,1080,0.9939606974144946,0.08596933333333333,0.9909494454956005,0.1021973333333333
layer_03,1620,0.9959202172381976,0.06803999999999999,0.993633453027343,0.080648
layer_03,2160,0.9953250116099606,0.07132533333333335,0.991319791444261,0.09457066666666666
layer_03,2700,0.9930137180861565,0.084132,0.9912087587616404,0.10195333333333334
layer_03,3240,0.9942875890492423,0.08323733333333334,0.991574920919738,0.09836800000000001
layer_03,3780,0.9943164850500167,0.08332666666666666,0.9923742528471121,0.09596400000000002
layer_03,4320,0.9953479904936566,0.075128,0.9940857742471256,0.08463333333333332
layer_03,4860,0.99609023460387,0.06496666666666667,0.9957939863703339,0.07089466666666666
layer_03,5400,0.9990042145535551,0.03392933333333334,0.9990042145535551,0.03392933333333334
layer_03,5473,1.0,0.0,,
layer_04,540,0.996902395006042,0.05982000000000001,0.9937272035982649,0.086688
layer_04,1080,0.9977614300103521,0.05308133333333333,0.9960672833037363,0.06952933333333332
layer_04,1620,0.9985152581947117,0.04374666666666667,0.9973781918779123,0.06006666666666667
layer_04,2160,0.9984065970041792,0.04264666666666667,0.9965561578740494,0.06342133333333333
layer_04,2700,0.9983117445141909,0.045037333333333346,0.9974195457473716,0.053976
layer_04,3240,0.9985455494343023,0.04155066666666668,0.9975279412677359,0.05408
layer_04,3780,0.9986496342501073,0.04082000000000001,0.997358021049586,0.05546
layer_04,4320,0.998591224343295,0.03931600000000002,0.9975349262515179,0.05592266666666666
layer_04,4860,0.9989550033020141,0.03760666666666666,0.9988925264772248,0.038911999999999995
layer_04,5400,0.9997042859433266,0.020142666666666677,0.9997042859433266,0.020142666666666677
layer_04,5473,1.0000000000000002,0.0,,
layer_05,540,0.9980132140884882,0.04846000000000001,0.9980888026915377,0.04935466666666667
layer_05,1080,0.9985381238317675,0.041708000000000016,0.9986370941860874,0.04091466666666667
layer_05,1620,0.9989817923492555,0.03724133333333334,0.9987139702807346,0.03811333333333333
layer_05,2160,0.9990701380866751,0.03335066666666667,0.9988298112844783,0.038021333333333324
layer_05,2700,0.9992651026612922,0.03084666666666666,0.9986047601741209,0.039268000000000004
layer_05,3240,0.9989886572220333,0.03545599999999999,0.9985771771836024,0.04097333333333332
layer_05,3780,0.9989435879719639,0.035650666666666664,0.99838543256799,0.04623466666666666
layer_05,4320,0.9991455011390343,0.030461333333333333,0.9985689318256589,0.042420000000000006
layer_05,4860,0.9989621652068643,0.03360666666666666,0.9990806187497443,0.033003999999999985
layer_05,5400,0.9997378039009747,0.01650933333333333,0.9997378039009747,0.01650933333333333
layer_05,5473,1.0,0.0,,
layer_06,540,0.9971613641889091,0.055353333333333324,0.9973942300882473,0.055511999999999985
layer_06,1080,0.9991408679497394,0.030962666666666666,0.9983704599290735,0.04365333333333335
layer_06,1620,0.9986689096815062,0.039601333333333336,0.9985643216341357,0.04365466666666667
layer_06,2160,0.9995037055413047,0.02466533333333334,0.9988445734061511,0.039221333333333344
layer_06,2700,0.9991493403034076,0.031321333333333326,0.999033244119594,0.03418399999999999
layer_06,3240,0.9993991136259974,0.02746133333333333,0.9991899341527232,0.03066400000000001
layer_06,3780,0.9993345547414662,0.029598666666666672,0.9988969334719854,0.03830666666666667
layer_06,4320,0.9995185499163806,0.023407999999999998,0.9990653552505254,0.033902666666666664
layer_06,4860,0.9993643781832355,0.03007066666666666,0.9994554774638931,0.026650666666666663
layer_06,5400,0.999849327007878,0.013868000000000002,0.999849327007878,0.013868000000000002
layer_06,5473,0.9999999999999998,0.0,,
