checkpoint,cosine_vs_final,norm_l1_vs_final,cosine_vs_next,norm_l1_vs_next
540,0.9956232764590386,0.06928483333333334,0.9940746916793256,0.07837666666666666
1080,0.996901127019501,0.057014333333333334,0.9959955863818768,0.0620405
1620,0.9978723023614671,0.04786599999999999,0.9965748700168738,0.058237333333333335
2160,0.9975825693436611,0.04668233333333334,0.9949694733397931,0.0635145
2700,0.9964320840792822,0.05347383333333333,0.9952213138636309,0.0604115
3240,0.9972419485356632,0.04955266666666666,0.9951211078898108,0.06234716666666667
3780,0.9966594305653261,0.05139183333333334,0.9954351096546352,0.060542
4320,0.9972099605065211,0.04638283333333333,0.9957074172850008,0.059969999999999996
4860,0.9973523121322717,0.04626399999999999,0.9971352658615287,0.04768216666666666
5400,0.9993815251678925,0.02162066666666667,0.9993815251678925,0.02162066666666667
5473,1.0,0.0,,
