layer,score_loss_budget_per_token,achieved_peak_ratio,excess_removed_pct,frac_tokens_moved_pct
layer_02,0.001,1.066752,95.07949238099731,21.7696
layer_02,0.002,1.066752,95.07949238099731,21.7696
layer_02,0.005,1.066752,95.07949238099731,21.7696
layer_02,0.01,1.066752,95.07949238099731,21.7696
layer_02,0.02,1.066752,95.07949238099731,21.7696
layer_03,0.001,1.019008,98.0561555075594,15.7016
layer_03,0.002,1.019008,98.0561555075594,15.7016
layer_03,0.005,1.019008,98.0561555075594,15.7016
layer_03,0.01,1.019008,98.0561555075594,15.7016
layer_03,0.02,1.019008,98.0561555075594,15.7016
layer_04,0.001,1.42592,74.98026241588029,4.9212
layer_04,0.002,1.101312,94.04864844543027,12.1184
layer_04,0.005,1.068544,95.97353283958044,13.9452
layer_04,0.01,1.068544,95.97353283958044,13.9452
layer_04,0.02,1.068544,95.97353283958044,13.9452
layer_05,0.001,1.183232,85.5294414960829,8.018
layer_05,0.002,1.066752,94.72832954258277,13.156399999999998
layer_05,0.005,1.041408,96.72984584281022,14.9804
layer_05,0.01,1.041408,96.72984584281022,14.9804
layer_05,0.02,1.041408,96.72984584281022,14.9804
layer_06,0.001,1.243648,80.78340315986068,6.254600000000001
layer_06,0.002,1.103488,91.83786785119378,10.7066
layer_06,0.005,1.082112,93.52379990914139,11.7254
layer_06,0.01,1.082112,93.52379990914139,11.7254
layer_06,0.02,1.082112,93.52379990914139,11.7254
layer_07,0.001,1.363456,68.13310139722799,4.9996
layer_07,0.002,1.208448,81.72380898939453,8.429
layer_07,0.005,1.038976,96.58268335110265,15.863199999999999
layer_07,0.01,1.038976,96.58268335110265,15.863199999999999
layer_07,0.02,1.038976,96.58268335110265,15.863199999999999
layer_08,0.001,1.301376,75.81779900374876,6.2862
layer_08,0.002,1.170048,86.3554665434191,10.329
layer_08,0.005,1.112576,90.96697992091613,13.012599999999999
layer_08,0.01,1.112576,90.96697992091613,13.012599999999999
layer_08,0.02,1.112576,90.96697992091613,13.012599999999999
layer_09,0.001,1.279104,66.63606457042307,3.5144
layer_09,0.002,1.279104,66.63606457042307,3.5144
layer_09,0.005,1.279104,66.63606457042307,3.5144
layer_09,0.01,1.279104,66.63606457042307,3.5144
layer_09,0.02,1.279104,66.63606457042307,3.5144
