layer,target_peak_ratio,reachable,achieved_peak_ratio,frac_tokens_moved_pct,avg_score_loss_per_token,avg_score_loss_per_moved_token
layer_02,1.1,True,1.099904,19.6916,0.00044131674194335937,0.0022411421212261036
layer_02,1.05,False,,,,
layer_02,1.02,False,,,,
layer_02,1.0,False,,,,
layer_03,1.1,True,1.099904,10.903599999999999,0.0004960672607421875,0.004549573175301621
layer_03,1.05,True,1.049984,13.5698,0.0007403054809570313,0.005455537155721022
layer_03,1.02,True,1.019904,15.6274,0.0009773887634277345,0.006254327421245597
layer_03,1.0,False,,,,
layer_04,1.1,True,1.099904,12.183399999999999,0.002009106506347656,0.016490524043761647
layer_04,1.05,False,,,,
layer_04,1.02,False,,,,
layer_04,1.0,False,,,,
layer_05,1.1,True,1.099904,11.2056,0.00159273974609375,0.01421378369827363
layer_05,1.05,True,1.049984,14.3368,0.0023242693481445313,0.01621191164098356
layer_05,1.02,False,,,,
layer_05,1.0,False,,,,
layer_06,1.1,True,1.099904,10.8682,0.002038412292480469,0.01875574881287121
layer_06,1.05,False,,,,
layer_06,1.02,False,,,,
layer_06,1.0,False,,,,
layer_07,1.1,True,1.099904,12.2808,0.0033161280517578127,0.027002540972557266
layer_07,1.05,True,1.049984,15.112400000000001,0.004387635009765625,0.029033343544146693
layer_07,1.02,False,,,,
layer_07,1.0,False,,,,
layer_08,1.1,False,,,,
layer_08,1.05,False,,,,
layer_08,1.02,False,,,,
layer_08,1.0,False,,,,
layer_09,1.1,False,,,,
layer_09,1.05,False,,,,
layer_09,1.02,False,,,,
layer_09,1.0,False,,,,
