layer,checkpoint,fabric_max_over_mean,fabric_hot_overlap_vs_final,uplink_max_over_mean,uplink_hot_overlap_vs_final
layer_02,540,1.1002914776330552,0.42857142857142855,1.0218604139913083,0.0
layer_02,1080,1.1111397142545967,0.5,1.0161640325329593,1.0
layer_02,1620,1.095693644988443,0.6428571428571429,1.0093787634952947,1.0
layer_02,2160,1.094111195734958,0.35714285714285715,1.0119120988535153,1.0
layer_02,2700,1.1130203963326266,0.6428571428571429,1.007950056348935,1.0
layer_02,3240,1.1104657498336854,0.2857142857142857,1.0051630112546983,0.0
layer_02,3780,1.1115653187357601,0.35714285714285715,1.0072382814627465,0.0
layer_02,4320,1.0799405501547157,0.2857142857142857,1.0155156710136037,1.0
layer_02,4860,1.0969607124284377,0.35714285714285715,1.0011102161079375,0.0
layer_02,5400,1.0891309132421134,0.7142857142857143,1.0046928672928246,0.0
layer_02,5473,1.075536146629125,1.0,1.0166148614542654,1.0
layer_03,540,1.102119931014484,0.5,1.035836666277676,1.0
layer_03,1080,1.107700655966844,0.6428571428571429,1.00644780324535,1.0
layer_03,1620,1.148209087457284,0.42857142857142855,1.0091061170589692,1.0
layer_03,2160,1.1236971193842404,0.5714285714285714,1.0021554088074418,0.0
layer_03,2700,1.1243321085956146,0.21428571428571427,1.0246498094687915,1.0
layer_03,3240,1.1194800858901037,0.6428571428571429,1.00360774719026,0.0
layer_03,3780,1.0683598322594716,0.6428571428571429,1.00192514557673,0.0
layer_03,4320,1.114607591500472,0.7142857142857143,1.0087982755856795,1.0
layer_03,4860,1.1403782095396207,0.5,1.0307844636277725,1.0
layer_03,5400,1.0837877832576912,0.7857142857142857,1.001317257665671,1.0
layer_03,5473,1.073531823114839,1.0,1.002470706749377,1.0
layer_04,540,1.130431535313982,0.5714285714285714,1.0101828214951796,1.0
layer_04,1080,1.081346314630458,0.42857142857142855,1.0059309812797104,1.0
layer_04,1620,1.0704384482969957,0.7142857142857143,1.0056944535780574,1.0
layer_04,2160,1.1010450944104935,0.7142857142857143,1.002832373980856,1.0
layer_04,2700,1.0587676397322598,0.5,1.006796712125748,0.0
layer_04,3240,1.083890485462305,0.5714285714285714,1.0052559964431693,1.0
layer_04,3780,1.075258769790572,0.5,1.0068859409465787,0.0
layer_04,4320,1.072113540467971,0.7142857142857143,1.005783925618395,1.0
layer_04,4860,1.0843149788451587,0.6428571428571429,1.0180801716047727,1.0
layer_04,5400,1.0807962582740636,0.8571428571428571,1.0025410967078383,1.0
layer_04,5473,1.0824259571110166,1.0,1.0031513154629106,1.0
layer_05,540,1.123249141807134,0.7857142857142857,1.0140748194815414,1.0
layer_05,1080,1.075048244538505,0.8571428571428571,1.0112185253596244,1.0
layer_05,1620,1.0635763858485645,0.8571428571428571,1.0087071830265848,1.0
layer_05,2160,1.0656443782000435,0.7857142857142857,1.015174284450555,1.0
layer_05,2700,1.0795387232202271,0.7857142857142857,1.0127348762526844,1.0
layer_05,3240,1.0660431783897988,0.6428571428571429,1.005563136069862,1.0
layer_05,3780,1.053283118132579,0.6428571428571429,1.0073152558609861,1.0
layer_05,4320,1.0678771604543613,0.7857142857142857,1.0108928925439502,1.0
layer_05,4860,1.0984463058559857,0.7142857142857143,1.0073951641987287,1.0
layer_05,5400,1.077094397155077,0.8571428571428571,1.0061397664574865,1.0
layer_05,5473,1.072888729869329,1.0,1.0032849763534901,1.0
layer_06,540,1.1053497297720687,0.7142857142857143,1.003606170204879,0.0
layer_06,1080,1.0675469380059481,0.8571428571428571,1.0077426015141087,0.0
layer_06,1620,1.0896436631492155,0.5714285714285714,1.0044301599479208,1.0
layer_06,2160,1.0915991691126528,0.6428571428571429,1.0032928004647417,1.0
layer_06,2700,1.0789223802103622,0.7857142857142857,1.0060219081748163,1.0
layer_06,3240,1.0807392581867734,0.8571428571428571,1.008446117570062,1.0
layer_06,3780,1.0836035633083603,0.8571428571428571,1.0007431666290463,1.0
layer_06,4320,1.0807524942554352,0.8571428571428571,1.0042108453980534,0.0
layer_06,4860,1.078336402635697,0.8571428571428571,1.005021771562817,1.0
layer_06,5400,1.087250924234442,0.9285714285714286,1.0006491261864365,1.0
layer_06,5473,1.0928875000950362,1.0,1.000677824841621,1.0
layer_07,540,1.1086453533685048,0.42857142857142855,1.0065038454905557,1.0
layer_07,1080,1.1249079589823259,0.6428571428571429,1.006562551363891,1.0
layer_07,1620,1.1297332575101235,0.8571428571428571,1.0146808760935127,1.0
layer_07,2160,1.081896998798055,0.8571428571428571,1.0086056083353143,1.0
layer_07,2700,1.1348408173723656,0.8571428571428571,1.015815122485489,1.0
layer_07,3240,1.1367572482562078,0.8571428571428571,1.0122087783756113,1.0
layer_07,3780,1.1026510875865647,0.8571428571428571,1.0082204648345299,1.0
layer_07,4320,1.0933307289441236,0.8571428571428571,1.0119536899564192,1.0
layer_07,4860,1.1047570522095767,0.7857142857142857,1.0104454611253109,1.0
layer_07,5400,1.091388893973507,1.0,1.0089900976894608,1.0
layer_07,5473,1.094152348241983,1.0,1.007935428286401,1.0
layer_08,540,1.1098742188599444,0.5714285714285714,1.0211944500301628,1.0
layer_08,1080,1.117218451393314,0.5,1.0265481510845997,1.0
layer_08,1620,1.1024839006439742,0.6428571428571429,1.0178638671306448,1.0
layer_08,2160,1.1143975687884011,0.6428571428571429,1.0220304126054105,1.0
layer_08,2700,1.1095745813497195,0.7857142857142857,1.0099662635179283,1.0
layer_08,3240,1.09925462039501,0.7857142857142857,1.0116838763040636,1.0
layer_08,3780,1.0919012245680972,0.8571428571428571,1.0113726541483445,1.0
layer_08,4320,1.0981695449655258,0.7142857142857143,1.009655253327076,1.0
layer_08,4860,1.0962537303665918,0.7857142857142857,1.0108981535722912,1.0
layer_08,5400,1.0973958028143076,0.8571428571428571,1.0060736224962816,1.0
layer_08,5473,1.0969446456726466,1.0,1.0063873687748497,1.0
layer_09,540,1.1238823785136007,0.6428571428571429,1.0260018696417585,1.0
layer_09,1080,1.1482422847590963,0.8571428571428571,1.003008773818352,1.0
layer_09,1620,1.1558099927619632,0.7142857142857143,1.0177332612544645,1.0
layer_09,2160,1.1570027081938323,0.7857142857142857,1.008186795199706,1.0
layer_09,2700,1.139070582702749,0.7857142857142857,1.0150450714810186,1.0
layer_09,3240,1.1408416833667334,0.7142857142857143,1.0115729256584836,1.0
layer_09,3780,1.1632266960248832,0.7857142857142857,1.008990693051414,1.0
layer_09,4320,1.1474260732581498,0.8571428571428571,1.0080665717866475,1.0
layer_09,4860,1.1442287138206715,0.7142857142857143,1.0046945863559602,1.0
layer_09,5400,1.1303026183336822,0.9285714285714286,1.0063742042218962,1.0
layer_09,5473,1.1297575608541652,1.0,1.0056928267191845,1.0
