checkpoint,fabric_max_over_mean,fabric_hot_overlap_vs_final,uplink_max_over_mean,uplink_hot_overlap_vs_final
540,1.1129804707853468,0.5803571428571429,1.0174076320766328,0.75
1080,1.104143820316386,0.6607142857142857,1.0104529275248244,0.875
1620,1.1069485475820704,0.6785714285714286,1.010949335198181,1.0
2160,1.1036742790778347,0.6696428571428572,1.0092737228371926,0.875
2700,1.1047584036894906,0.6696428571428571,1.0123724774819265,0.875
3240,1.1046840387225771,0.6696428571428571,1.0079376986082762,0.75
3780,1.093731201300786,0.6875,1.006586450313797,0.625
4320,1.0942772105000942,0.7232142857142857,1.009359640653728,0.875
4860,1.1054595132127174,0.6696428571428572,1.0110537485194488,0.875
5400,1.0921434489106105,0.8660714285714286,1.0045972548397368,0.875
5473,1.0897655889485176,1.0,1.0057769135802623,1.0
