layer,checkpoint,matrix_cosine_vs_final,matrix_norm_l1_vs_final,rank1_residual
layer_02,540,0.9984940437686093,0.04414400000000001,0.026435958335733648
layer_02,1080,0.9985078576138972,0.043708,0.02136023041585355
layer_02,1620,0.9995825557750557,0.02348666666666666,0.022271326287824262
layer_02,2160,0.9989727842420284,0.03527066666666667,0.020275490678976098
layer_02,2700,0.9989756035569819,0.03826266666666667,0.021768465686390317
layer_02,3240,0.9990721666687735,0.03422,0.02446326115994765
layer_02,3780,0.9982148821231785,0.05090666666666667,0.0203867976353065
layer_02,4320,0.9993902994111085,0.03083466666666667,0.02384768229425366
layer_02,4860,0.9981821784903167,0.046108,0.023770996896190846
layer_02,5400,0.9996320376280716,0.02305199999999999,0.0229240905767731
layer_02,5473,1.0000000000000002,0.0,0.023870998819236055
layer_03,540,0.9984904571003869,0.046614666666666665,0.036018773249400116
layer_03,1080,0.9987238629699565,0.04189333333333333,0.03345002430166993
layer_03,1620,0.9993553412413784,0.029982666666666668,0.03395495933952528
layer_03,2160,0.9996745069233997,0.021024000000000015,0.03301891996206737
layer_03,2700,0.9991005132956784,0.036738666666666656,0.028197122035972546
layer_03,3240,0.999481029383971,0.023707999999999993,0.031513064024655695
layer_03,3780,0.9998091449512122,0.016565333333333335,0.03052873862448632
layer_03,4320,0.9997324780480777,0.020374666666666666,0.031684530755201085
layer_03,4860,0.9993362947438131,0.030207999999999992,0.03077519599449631
layer_03,5400,0.9999274299249535,0.010090666666666664,0.02906307524434941
layer_03,5473,1.0,0.0,0.02902679713366752
layer_04,540,0.9993117462781601,0.03102533333333333,0.02916501737767201
layer_04,1080,0.9996421263475316,0.02282533333333333,0.026492883573515046
layer_04,1620,0.9998429023050325,0.014246666666666656,0.024504765865999225
layer_04,2160,0.9997636722831941,0.017798666666666664,0.024759508975214447
layer_04,2700,0.9997756608743579,0.018780000000000012,0.024744614776664405
layer_04,3240,0.9997938301019296,0.017707999999999988,0.027324775213455086
layer_04,3780,0.9997984338754172,0.017659999999999995,0.02629434366895972
layer_04,4320,0.9997705464932147,0.018485333333333326,0.026001395066481685
layer_04,4860,0.9997728258972018,0.018257333333333327,0.025229266159976314
layer_04,5400,0.9999763906433621,0.005535999999999985,0.02508749462787692
layer_04,5473,1.0,0.0,0.024925767736991403
layer_05,540,0.9996042574236088,0.021624,0.034259087262630945
layer_05,1080,0.9998724499697316,0.012938666666666666,0.03058729039864309
layer_05,1620,0.9998765235359217,0.012137333333333333,0.030611751040648772
layer_05,2160,0.9998208622119463,0.016021333333333332,0.03096211570245071
layer_05,2700,0.9998550384936976,0.013586666666666677,0.0304709473637092
layer_05,3240,0.9998680740201253,0.013588000000000018,0.03170907143385586
layer_05,3780,0.9998296287090296,0.015706666666666678,0.029652993982681033
