layer,checkpoint,fabric_max_over_mean,fabric_hot_overlap_vs_final,uplink_max_over_mean,uplink_hot_overlap_vs_final
layer_00,5000,1.1659424525261937,0.35714285714285715,1.014001584435139,0.0
layer_00,120000,1.1961585486921718,0.6428571428571429,1.0228800284538684,1.0
layer_00,245000,1.2600113054447133,0.8571428571428571,1.0568159136162485,1.0
layer_00,490000,1.2475409744707173,0.9285714285714286,1.05003280979692,1.0
layer_00,final,1.228213803377748,1.0,1.0494285109664112,1.0
layer_01,5000,1.1763419639543151,0.7142857142857143,1.058475210773662,1.0
layer_01,120000,1.1212315300493834,0.7142857142857143,1.0239038142984083,1.0
layer_01,245000,1.1251893311173418,0.7142857142857143,1.0234663004998616,1.0
layer_01,490000,1.159440564331954,0.7857142857142857,1.0415031290833654,1.0
layer_01,final,1.1633670983100726,1.0,1.0509586276488396,1.0
layer_02,5000,1.1598464122400127,0.21428571428571427,1.0051022218958627,1.0
layer_02,120000,1.1202056283931372,0.5714285714285714,1.0192269709169204,1.0
layer_02,245000,1.179419624584583,0.7142857142857143,1.0358672448501731,1.0
layer_02,490000,1.1769966522860196,0.7857142857142857,1.0309601532492156,1.0
layer_02,final,1.1952815037408855,1.0,1.0473444976661508,1.0
layer_03,5000,1.1099572874383765,0.2857142857142857,1.0130572472594397,1.0
layer_03,120000,1.2186463818997464,0.7857142857142857,1.001964435805522,0.0
layer_03,245000,1.2551677076587773,0.9285714285714286,1.006273772809437,1.0
layer_03,490000,1.3490283559028091,0.9285714285714286,1.0037580421375318,0.0
layer_03,final,1.3033341056485466,1.0,1.000899415743412,1.0
layer_04,5000,1.2413798876835607,0.5714285714285714,1.0566192187002592,1.0
layer_04,120000,1.3912457546831614,0.9285714285714286,1.0930805868110653,1.0
layer_04,245000,1.327662182111919,0.9285714285714286,1.080767533053491,1.0
layer_04,490000,1.3904676574277868,1.0,1.0939813856784089,1.0
layer_04,final,1.3227226977965147,1.0,1.085961024802732,1.0
layer_05,5000,1.311512227757033,0.6428571428571429,1.0613272832068608,1.0
layer_05,120000,1.1808462075103372,0.7142857142857143,1.0223704006660728,1.0
layer_05,245000,1.207205376049183,0.7857142857142857,1.0186849482496048,1.0
layer_05,490000,1.258604245408043,0.7857142857142857,1.0104594844631487,1.0
layer_05,final,1.2867998326506387,1.0,1.0050715784970872,1.0
layer_06,5000,1.2716792322172263,0.35714285714285715,1.0947715798427105,1.0
layer_06,120000,1.2614668649938783,0.35714285714285715,1.0009189272195018,1.0
layer_06,245000,1.2163683412848865,0.5714285714285714,1.004872345996237,0.0
layer_06,490000,1.2921658845055544,0.7857142857142857,1.007034364902042,0.0
layer_06,final,1.334727736713649,1.0,1.0024540686260146,1.0
layer_07,5000,1.1498724023011502,0.42857142857142855,1.0007237019134483,1.0
layer_07,120000,1.1264499725601074,0.5,1.010590276066666,0.0
layer_07,245000,1.1489741302408565,0.7857142857142857,1.0044270547442509,1.0
layer_07,490000,1.1435810904569752,0.8571428571428571,1.0079828032394127,1.0
layer_07,final,1.199046000755203,1.0,1.0173361918601065,1.0
layer_08,5000,1.3443256986115164,0.42857142857142855,1.0557701390134693,1.0
layer_08,120000,1.287848690154197,0.7142857142857143,1.0283930534827161,1.0
layer_08,245000,1.2565624995647517,0.7857142857142857,1.0265635939109365,1.0
layer_08,490000,1.1983516636502853,0.8571428571428571,1.0198881171427665,1.0
layer_08,final,1.1362213706964637,1.0,1.0054725079191271,1.0
layer_09,5000,1.2590836599465047,0.7857142857142857,1.0790423976608188,1.0
layer_09,120000,1.1919570556715897,0.5,1.0566993758179315,1.0
layer_09,245000,1.2359722947339111,0.5,1.058083973101129,1.0
layer_09,490000,1.247848008768725,0.9285714285714286,1.0489633501739002,1.0
layer_09,final,1.2455675486108404,1.0,1.0563240926333621,1.0
layer_10,5000,1.2739251378654044,0.7857142857142857,1.0616450118741536,1.0
layer_10,120000,1.275418478132087,0.9285714285714286,1.038060136266351,1.0
layer_10,245000,1.2766698236216896,0.9285714285714286,1.03286521950191,1.0
layer_10,490000,1.2732265223010706,0.9285714285714286,1.0267976370447869,1.0
layer_10,final,1.280117130307467,1.0,1.0286409770086091,1.0
layer_11,5000,1.531633051869387,0.5,1.0177259434059855,0.0
layer_11,120000,1.3862747395615371,0.7142857142857143,1.0159864007750097,1.0
layer_11,245000,1.3580929693491,0.9285714285714286,1.025355451970993,1.0
layer_11,490000,1.3146779774528405,1.0,1.032435525899228,1.0
layer_11,final,1.2272003784847074,1.0,1.0252726068937263,1.0
layer_12,5000,1.2298046861400271,0.6428571428571429,1.0082283108117922,1.0
layer_12,120000,1.214010424058259,0.8571428571428571,1.0064494074200685,1.0
layer_12,245000,1.2209968852120276,0.8571428571428571,1.0102984851912644,1.0
layer_12,490000,1.2222862215098822,0.9285714285714286,1.011182027921389,1.0
layer_12,final,1.1987190094711533,1.0,1.0140281477310735,1.0
layer_13,5000,1.4923582841182896,0.6428571428571429,1.0864886615549445,1.0
layer_13,120000,1.3172818925807575,0.9285714285714286,1.0492716097332422,1.0
layer_13,245000,1.298843888148016,1.0,1.0462743146200026,1.0
layer_13,490000,1.2915862621587377,1.0,1.0448813659546161,1.0
layer_13,final,1.2605921402761826,1.0,1.0406970008454919,1.0
layer_14,5000,1.3635170976176942,0.5714285714285714,1.0087655142251248,1.0
layer_14,120000,1.3721528445609836,0.8571428571428571,1.0243343010589496,1.0
layer_14,245000,1.3924771815592116,0.8571428571428571,1.0267125991228188,1.0
layer_14,490000,1.3713328441484722,0.9285714285714286,1.018073142957681,1.0
layer_14,final,1.3626111148057014,1.0,1.0149813787662898,1.0
layer_15,5000,1.4659933541198849,0.5,1.020568835010865,1.0
layer_15,120000,1.253007242312055,0.5714285714285714,1.0105343140673129,1.0
layer_15,245000,1.2453500783188478,0.7142857142857143,1.0216844476012263,1.0
layer_15,490000,1.2485344756409695,0.7857142857142857,1.028924526304647,1.0
layer_15,final,1.2371900608606503,1.0,1.0146833492817207,1.0
