layer,checkpoint,matrix_cosine_vs_final,matrix_norm_l1_vs_final,rank1_residual
layer_00,5000,0.9929725211824896,0.09066951219512195,0.049170769192826466
layer_00,120000,0.997875376248943,0.051699999999999996,0.03067540475176891
layer_00,245000,0.9989717888588403,0.036836585365853665,0.03560543608635002
layer_00,490000,0.9997524869959022,0.018602439024390224,0.04066848669093679
layer_00,final,1.0,0.0,0.03972967812653558
layer_01,5000,0.9981719128455858,0.04729268292682927,0.02133243267205542
layer_01,120000,0.9976999652624159,0.05756341463414634,0.027343618303229084
layer_01,245000,0.9989072461669594,0.035739024390243915,0.0293374570330235
layer_01,490000,0.9998333416375826,0.015791463414634138,0.029581154562454838
layer_01,final,1.0,0.0,0.03143694813285695
layer_02,5000,0.9953394641920006,0.08020243902439023,0.03013114179222156
layer_02,120000,0.998546913891024,0.047340243902439016,0.03516337378063661
layer_02,245000,0.9992755392886263,0.03063780487804877,0.03844650578408685
layer_02,490000,0.9995696321830261,0.02569146341463415,0.04082976768615505
layer_02,final,1.0,0.0,0.045407649878785025
layer_03,5000,0.9935893798705913,0.08725243902439024,0.024154961739295325
layer_03,120000,0.9989309102664128,0.03820975609756098,0.04371249170982989
layer_03,245000,0.9995428673963869,0.02371463414634146,0.047376711976050416
layer_03,490000,0.9994853349105983,0.026595121951219516,0.05267783099582262
layer_03,final,1.0000000000000002,0.0,0.051930773665943245
layer_04,5000,0.9949129027558518,0.08176829268292685,0.037481961909493135
layer_04,120000,0.9986677711866395,0.04406951219512196,0.05082802722761647
layer_04,245000,0.9994832918756108,0.02694390243902438,0.05590463170465198
layer_04,490000,0.9996391307708895,0.022408536585365853,0.06410646758707152
layer_04,final,1.0000000000000002,0.0,0.0665908659610241
layer_05,5000,0.9954128343064069,0.07473902439024391,0.03257789583927138
layer_05,120000,0.9983481007456929,0.04715121951219513,0.050308912138927214
layer_05,245000,0.9992902060374281,0.03004024390243903,0.05762316540103628
layer_05,490000,0.9995505948217774,0.026287804878048777,0.06697031323379907
layer_05,final,1.0000000000000002,0.0,0.0713220961534805
layer_06,5000,0.9765967188530678,0.16925121951219513,0.029116748716257225
layer_06,120000,0.9938248012281165,0.08550853658536585,0.047409855539887504
layer_06,245000,0.9973198667784664,0.05625365853658537,0.04835177415279663
layer_06,490000,0.9991676985298428,0.034091463414634156,0.05195885906321376
layer_06,final,0.9999999999999998,0.0,0.05473465853840925
layer_07,5000,0.9944302366497378,0.0925,0.03371477301568941
layer_07,120000,0.9979717325247103,0.056640243902439026,0.044964145803889737
layer_07,245000,0.998993360482478,0.03721219512195123,0.047655971570067554
layer_07,490000,0.9995598877120582,0.025960975609756118,0.05114479982949962
layer_07,final,0.9999999999999998,0.0,0.053879819839013667
layer_08,5000,0.992792965687671,0.10799634146341465,0.036572125101320144
layer_08,120000,0.9974962656479853,0.05649512195121952,0.04700777726183429
layer_08,245000,0.9979795101827942,0.05036341463414633,0.04660109656542596
layer_08,490000,0.999058118301938,0.037271951219512184,0.049866861599508504
layer_08,final,1.0,0.0,0.05174308645920465
layer_09,5000,0.9951167569885515,0.07319634146341464,0.027536172543889875
layer_09,120000,0.9975755274410871,0.05956219512195121,0.03405491724834348
layer_09,245000,0.9987703022140222,0.04174878048780488,0.03548852476204827
layer_09,490000,0.999659839431872,0.01995487804878048,0.03571222940833822
layer_09,final,0.9999999999999998,0.0,0.03706676225445806
layer_10,5000,0.9961375819871611,0.07323414634146341,0.030569982393849362
layer_10,120000,0.9992030970874993,0.030800000000000004,0.03641438295041716
layer_10,245000,0.9995621072635159,0.023339024390243896,0.04011414661710398
layer_10,490000,0.9998746381403522,0.012676829268292692,0.04130838147690104
layer_10,final,1.0,0.0,0.04323455611059212
layer_11,5000,0.9861529810800941,0.13980121951219512,0.04199320487251124
layer_11,120000,0.9973970353870208,0.05448902439024391,0.04708362141937247
layer_11,245000,0.9984629367402803,0.042436585365853645,0.048224328239489266
layer_11,490000,0.99932946433198,0.02911097560975609,0.04990461399732955
layer_11,final,1.0,0.0,0.051009253698212166
layer_12,5000,0.9951120256746748,0.08297073170731707,0.04212244649382674
layer_12,120000,0.9990923595296491,0.032147560975609765,0.05309758300688016
layer_12,245000,0.999567967260868,0.024018292682926826,0.05558099461955006
layer_12,490000,0.9998638969676029,0.013413414634146342,0.05852473267964173
layer_12,final,1.0,0.0,0.05735720889741637
layer_13,5000,0.9904777428250416,0.10877560975609755,0.056217527991581924
layer_13,120000,0.9992339732436905,0.03304512195121951,0.06595116031189661
layer_13,245000,0.9995226191462359,0.02562926829268292,0.06835258832249239
layer_13,490000,0.9997180451559493,0.01965,0.070772305001178
layer_13,final,1.0,0.0,0.07303777103409294
layer_14,5000,0.9920059647968323,0.10567073170731706,0.059538515027463976
layer_14,120000,0.9994243275645922,0.027791463414634145,0.06789969105002747
layer_14,245000,0.9995846016117057,0.023251219512195123,0.06608469662562218
layer_14,490000,0.9998538665426567,0.014039024390243892,0.06498612000537239
layer_14,final,0.9999999999999998,0.0,0.06293048156365103
layer_15,5000,0.9894789869170881,0.12598170731707317,0.06333446022207052
layer_15,120000,0.9983686162541082,0.04845609756097561,0.058232198139077845
layer_15,245000,0.9993471251644996,0.02663048780487806,0.05790492742797493
layer_15,490000,0.999585469002558,0.021825609756097555,0.05675582150791609
layer_15,final,1.0,0.0,0.0592098167762197
