layer,checkpoint,policy,normalized_time
layer_00,490000,ecmp,2.2505550024831305
layer_00,490000,static_mean,1.307958319854566
layer_00,490000,static_p95,1.1456116930394886
layer_00,490000,static_worst,1.2970234325522483
layer_00,490000,oracle,1.2892414377554322
layer_00,490000,ecmp_p95,2.856055877274115
layer_00,final,ecmp,2.2807321566300116
layer_00,final,static_mean,1.3255497106542953
layer_00,final,static_p95,1.1470374971712012
layer_00,final,static_worst,1.3156108127081187
layer_00,final,oracle,1.284981272197411
layer_00,final,ecmp_p95,2.85584441375743
layer_01,490000,ecmp,2.423106834453975
layer_01,490000,static_mean,1.4670821893099786
layer_01,490000,static_p95,1.4214281419724633
layer_01,490000,static_worst,1.5396115998957853
layer_01,490000,oracle,1.1377237108443394
layer_01,490000,ecmp_p95,3.057298033949937
layer_01,final,ecmp,2.4297890179416433
layer_01,final,static_mean,1.4750304201739584
layer_01,final,static_p95,1.3838349949675268
layer_01,final,static_worst,1.5823097299489741
layer_01,final,oracle,1.4729473267802686
layer_01,final,ecmp_p95,3.0471950847007805
layer_02,490000,ecmp,2.4458319463768334
layer_02,490000,static_mean,1.1486218950874936
layer_02,490000,static_p95,1.3306404559938962
layer_02,490000,static_worst,1.3306404559938962
layer_02,490000,oracle,1.1391270090610335
layer_02,490000,ecmp_p95,3.026868931675718
layer_02,final,ecmp,2.4324710023344034
layer_02,final,static_mean,1.1427299659236472
layer_02,final,static_p95,1.3419851330164743
layer_02,final,static_worst,1.3419851330164743
layer_02,final,oracle,1.2955740307527956
layer_02,final,ecmp_p95,2.989045120256389
layer_03,490000,ecmp,2.262128879892038
layer_03,490000,static_mean,1.1420062977957715
layer_03,490000,static_p95,1.1481601439496176
layer_03,490000,static_worst,1.1420062977957715
layer_03,490000,oracle,1.297633828160144
layer_03,490000,ecmp_p95,2.8874224021592445
layer_03,final,ecmp,2.336750982607263
layer_03,final,static_mean,1.2338440537550897
layer_03,final,static_p95,1.2484360658052673
layer_03,final,static_worst,1.2640824684035867
layer_03,final,oracle,1.1440137447339311
layer_03,final,ecmp_p95,2.931525806679376
layer_04,490000,ecmp,2.238778523801209
layer_04,490000,static_mean,1.1395420913634677
layer_04,490000,static_p95,1.1395420913634677
layer_04,490000,static_worst,1.1395420913634677
layer_04,490000,oracle,1.1294148460178537
layer_04,490000,ecmp_p95,2.8319139184145623
layer_04,final,ecmp,2.2793788315336903
layer_04,final,static_mean,1.1624345890441699
layer_04,final,static_p95,1.1537460394395527
layer_04,final,static_worst,1.1537460394395527
layer_04,final,oracle,1.1889849296748076
layer_04,final,ecmp_p95,2.8395355934333235
layer_05,490000,ecmp,2.4418287945391732
layer_05,490000,static_mean,1.1588797708446235
layer_05,490000,static_p95,1.1588797708446235
layer_05,490000,static_worst,1.1588797708446235
layer_05,490000,oracle,1.1588797708446235
layer_05,490000,ecmp_p95,3.0212510644886583
layer_05,final,ecmp,2.415897018433646
layer_05,final,static_mean,1.143203766645163
layer_05,final,static_p95,1.1547578929125064
layer_05,final,static_worst,1.1547578929125064
layer_05,final,oracle,1.1379658960706343
layer_05,final,ecmp_p95,2.9742198557659902
layer_06,490000,ecmp,2.3456847741023665
layer_06,490000,static_mean,1.1885906510617423
layer_06,490000,static_p95,1.3762608919102015
layer_06,490000,static_worst,1.138823089681594
layer_06,490000,oracle,1.1280024295091924
layer_06,490000,ecmp_p95,2.8792674095358235
layer_06,final,ecmp,2.277551547468969
layer_06,final,static_mean,1.1848739116093496
layer_06,final,static_p95,1.2854554409365921
layer_06,final,static_worst,1.1408819183690069
layer_06,final,oracle,1.1273445301450886
layer_06,final,ecmp_p95,2.8731073185940277
layer_07,490000,ecmp,2.549014710838589
layer_07,490000,static_mean,1.4190332373642107
layer_07,490000,static_p95,1.415271108417241
layer_07,490000,static_worst,1.1613274044967892
layer_07,490000,oracle,1.4350640868215758
layer_07,490000,ecmp_p95,3.2234965853454627
layer_07,final,ecmp,2.479648264262037
layer_07,final,static_mean,1.3905479790717503
layer_07,final,static_p95,1.3289337591636772
layer_07,final,static_worst,1.151538085075252
layer_07,final,oracle,1.1463716126558392
layer_07,final,ecmp_p95,3.1232940297980334
layer_08,490000,ecmp,2.4208845912621264
layer_08,490000,static_mean,1.5084639252189624
layer_08,490000,static_p95,1.429558933270492
layer_08,490000,static_worst,1.429558933270492
layer_08,490000,oracle,1.3803464121597737
layer_08,490000,ecmp_p95,2.9477288794627077
layer_08,final,ecmp,2.5133790284629782
layer_08,final,static_mean,1.6083237663801753
layer_08,final,static_p95,1.525417067444434
layer_08,final,static_worst,1.525417067444434
layer_08,final,oracle,1.529678240094325
layer_08,final,ecmp_p95,3.1590441320963523
layer_09,490000,ecmp,2.2880802805501235
