layer,checkpoint,policy,normalized_time
layer_02,3780,ecmp,2.536275933063285
layer_02,3780,static_mean,1.7132244023609307
layer_02,3780,static_p95,1.5912809644265171
layer_02,3780,static_worst,1.1481506802488548
layer_02,3780,oracle,1.533009730863016
layer_02,3780,ecmp_p95,3.224413755383879
layer_02,4320,ecmp,2.5502106751756015
layer_02,4320,static_mean,1.62413359086348
layer_02,4320,static_p95,1.5429071905433074
layer_02,4320,static_worst,1.1531318333942358
layer_02,4320,oracle,1.5597046523633031
layer_02,4320,ecmp_p95,3.2592876159320676
layer_02,4860,ecmp,2.531844412434201
layer_02,4860,static_mean,1.668629961587708
layer_02,4860,static_p95,1.5132508180395505
layer_02,4860,static_worst,1.1502062882344573
layer_02,4860,oracle,1.5011637501778348
layer_02,4860,ecmp_p95,3.1847318252952057
layer_02,5400,ecmp,2.5697553424240827
layer_02,5400,static_mean,1.618598012202898
layer_02,5400,static_p95,1.5781400817816464
layer_02,5400,static_worst,1.1631245502886927
layer_02,5400,oracle,1.574957734449495
layer_02,5400,ecmp_p95,3.2669720316128767
layer_02,5473,ecmp,2.5665272494513536
layer_02,5473,static_mean,1.590121433796635
layer_02,5473,static_p95,1.539932699341624
layer_02,5473,static_worst,1.1566349670811997
layer_02,5473,oracle,1.1399912216532553
layer_02,5473,ecmp_p95,3.286332114118508
layer_03,3780,ecmp,2.607896088618836
layer_03,3780,static_mean,1.164125731586664
layer_03,3780,static_p95,1.6979485773544873
layer_03,3780,static_worst,1.7033840725686291
layer_03,3780,oracle,1.141954632686875
layer_03,3780,ecmp_p95,3.340272728356359
layer_03,4320,ecmp,2.5750325253906707
layer_03,4320,static_mean,1.1508563128177494
layer_03,4320,static_p95,1.6111098095260408
layer_03,4320,static_worst,1.6092355270248109
layer_03,4320,oracle,1.1508563128177494
layer_03,4320,ecmp_p95,3.247311576037298
layer_03,4860,ecmp,2.515015678408794
layer_03,4860,static_mean,1.1535220704300526
layer_03,4860,static_p95,1.5711738720630486
layer_03,4860,static_worst,1.555184592148446
layer_03,4860,oracle,1.152159347710058
layer_03,4860,ecmp_p95,3.136272271999455
