topology,layer,tau,raw_comm,offline_comm,online_global_comm,online_local_comm,online_global_red,online_local_red,offline_red
Switch,layer_02,0.001,1633121,1527528,1519577,1556386,6.952577304437336,4.6986720518565335,6.465718094372674
Switch,layer_02,0.002,1633121,1527528,1579806,1529341,3.2646080725188154,6.35470366249653,6.465718094372674
Switch,layer_02,0.004,1633121,1527528,1573771,1500601,3.634145908355846,8.114524275910973,6.465718094372674
Switch,layer_03,0.001,1615096,1519023,1643884,1595905,-1.7824327470317591,1.1882265821969717,5.948438978240301
Switch,layer_03,0.002,1615096,1519023,1611621,1568039,0.21515748909043397,2.9135729393175436,5.948438978240301
Switch,layer_03,0.004,1615096,1519023,1525887,1526364,5.52344876094053,5.493914912797749,5.948438978240301
Switch,layer_04,0.001,1684126,1683595,1678349,1674019,0.343026590647022,0.6001332441871954,0.031529707397193185
Switch,layer_04,0.002,1684126,1683595,1674786,1696068,0.5545903335023583,-0.7090918375465938,0.031529707397193185
Switch,layer_04,0.004,1684126,1683595,1679104,1680668,0.29819621572257926,0.20532905495194154,0.031529707397193185
Switch,layer_05,0.001,1551314,1522971,1550093,1548950,0.0787074699254986,0.15238694422921029,1.827031793692313
Switch,layer_05,0.002,1551314,1522971,1524151,1527587,1.7509672445423674,1.529477591254902,1.827031793692313
Switch,layer_05,0.004,1551314,1522971,1554864,1514481,-0.22883826227313442,2.374309778677941,1.827031793692313
Switch,layer_06,0.001,1608733,1588952,1603679,1605373,0.31416027395472224,0.20886001592557157,1.2296011830428055
Switch,layer_06,0.002,1608733,1588952,1599727,1602630,0.5598194355433739,0.3793668682124385,1.2296011830428055
Switch,layer_06,0.004,1608733,1588952,1590269,1595418,1.1477355160862568,0.8276699738241189,1.2296011830428055
Switch,layer_07,0.001,1644627,1626433,1644396,1645446,0.014045738030565857,-0.04979852574473753,1.106269081074307
Switch,layer_07,0.002,1644627,1626433,1643790,1646367,0.050892998838036885,-0.10579906568479736,1.106269081074307
Switch,layer_07,0.004,1644627,1626433,1644497,1646801,0.007904527895985503,-0.13218802804526586,1.106269081074307
Switch,layer_08,0.001,1629683,1608076,1635390,1625658,-0.35019080397844515,0.246980547750697,1.3258406696271652
Switch,layer_08,0.002,1629683,1608076,1632793,1629572,-0.190834659255823,0.006811140571505447,1.3258406696271652
Switch,layer_08,0.004,1629683,1608076,1629571,1629932,0.006872502198285169,-0.015279045065819119,1.3258406696271652
Switch,layer_09,0.001,1653688,1660161,1653345,1650999,0.0207415183517079,0.16260624736951224,-0.391428129127136
Switch,layer_09,0.002,1653688,1660161,1652771,1660055,0.05545181436885649,-0.38501821383476464,-0.391428129127136
Switch,layer_09,0.004,1653688,1660161,1651512,1656109,0.13158467619043268,-0.1464000464416415,-0.391428129127136
Ring,layer_02,0.001,1734330,1665623,1633513,1632771,5.813022896449926,5.855805988479701,3.9615874718190836
Ring,layer_02,0.002,1734330,1665623,1687348,1691776,2.708942358144062,2.4536276256537093,3.9615874718190836
Ring,layer_02,0.004,1734330,1665623,1716431,1723221,1.0320411916993844,0.6405355382193667,3.9615874718190836
Ring,layer_03,0.001,1754499,1783034,1783783,1781658,-1.6690804611458887,-1.5479632647268593,-1.6263902116786522
Ring,layer_03,0.002,1754499,1783034,1790337,1736243,-2.042634393066045,1.0405249589768961,-1.6263902116786522
Ring,layer_03,0.004,1754499,1783034,1786085,1724282,-1.800286007572538,1.7222580349148142,-1.6263902116786522
Ring,layer_04,0.001,1768422,1741529,1767317,1765330,0.062485085573471544,0.17484514442819288,1.5207343043685317
Ring,layer_04,0.002,1768422,1741529,1774697,1771224,-0.35483611943303295,-0.15844634368946675,1.5207343043685317
Ring,layer_04,0.004,1768422,1741529,1772708,1782174,-0.2423629654007886,-0.7776424405486981,1.5207343043685317
Ring,layer_05,0.001,1816454,1719114,1773468,1774703,2.3664788648652846,2.2984892543383983,5.358792460475192
Ring,layer_05,0.002,1816454,1719114,1768066,1772433,2.66387147706465,2.423458012148949,5.358792460475192
Ring,layer_05,0.004,1816454,1719114,1718452,1770965,5.395237093810246,2.504274812354179,5.358792460475192
Ring,layer_06,0.001,1821520,1774249,1817098,1813050,0.24276428477315593,0.4649962668540564,2.595140322368128
Ring,layer_06,0.002,1821520,1774249,1811986,1805406,0.5234090210373799,0.8846457903289529,2.595140322368128
Ring,layer_06,0.004,1821520,1774249,1764433,1763260,3.134030919232289,3.1984276867670913,2.595140322368128
Ring,layer_07,0.001,1792796,1800444,1795371,1795047,-0.14363039631948293,-0.12555806684084736,-0.4265962217675723
Ring,layer_07,0.002,1792796,1800444,1797660,1796689,-0.27130805735844366,-0.21714684771718673,-0.4265962217675723
Ring,layer_07,0.004,1792796,1800444,1802354,1801038,-0.5331337196200714,-0.459728825811756,-0.4265962217675723
Ring,layer_08,0.001,1760680,1748203,1761441,1760107,-0.04322193697889887,0.03254424426926139,0.7086466592452934
Ring,layer_08,0.002,1760680,1748203,1762186,1759803,-0.08553513415270331,0.049810300565689136,0.7086466592452934
Ring,layer_08,0.004,1760680,1748203,1763653,1758583,-0.1688552150305611,0.11910171070268483,0.7086466592452934
Ring,layer_09,0.001,1746684,1752800,1762535,1759424,-0.9074909943641796,-0.7293820748343727,-0.35014919699269953
Ring,layer_09,0.002,1746684,1752800,1761103,1774140,-0.825507075120635,-1.5718927980103992,-0.35014919699269953
Ring,layer_09,0.004,1746684,1752800,1758874,1771565,-0.6978938376947408,-1.424470596856664,-0.35014919699269953
FullyConnected,layer_02,0.001,550829,544802,536925,537440,2.524195349191849,2.4306999086830983,1.0941689707695157
FullyConnected,layer_02,0.002,550829,544802,529047,529963,3.9544032721588684,3.7881084692345524,1.0941689707695157
FullyConnected,layer_02,0.004,550829,544802,526262,526243,4.460004829084885,4.463454175433757,1.0941689707695157
FullyConnected,layer_03,0.001,535342,531928,532175,532939,0.5915844450837038,0.4488719360707716,0.6377231750918089
FullyConnected,layer_03,0.002,535342,531928,528932,530554,1.197365422477592,0.8943815355417661,0.6377231750918089
FullyConnected,layer_03,0.004,535342,531928,525423,527331,1.852834262957137,1.4964265833803392,0.6377231750918089
FullyConnected,layer_04,0.001,538317,532901,536372,536830,0.36131127198286705,0.27623129122803514,1.006098637048436
FullyConnected,layer_04,0.002,538317,532901,534579,535399,0.694386393147528,0.542059790049354,1.006098637048436
FullyConnected,layer_04,0.004,538317,532901,531851,533015,1.2011509946741383,0.9849215239347786,1.006098637048436
FullyConnected,layer_05,0.001,540397,538280,539537,539519,0.15914226022720745,0.1624731447435912,0.3917490289546355
FullyConnected,layer_05,0.002,540397,538280,538375,538299,0.3741693606737262,0.3882330952984514,0.3917490289546355
FullyConnected,layer_05,0.004,540397,538280,536564,536391,0.7092933528498491,0.7413068540350842,0.3917490289546355
FullyConnected,layer_06,0.001,539004,536066,538013,538013,0.1838576337095832,0.1838576337095832,0.5450794428241701
FullyConnected,layer_06,0.002,539004,536066,537211,537248,0.33265059257445717,0.3257860795096157,0.5450794428241701
FullyConnected,layer_06,0.004,539004,536066,535569,535647,0.637286550749161,0.6228154150989651,0.5450794428241701
FullyConnected,layer_07,0.001,538241,533549,537325,537384,0.17018398821345704,0.15922235578486044,0.8717284636436062
FullyConnected,layer_07,0.002,538241,533549,536582,536696,0.3082262406617131,0.28704613732509765,0.8717284636436062
FullyConnected,layer_07,0.004,538241,533549,534962,535151,0.6092066564977405,0.5740922746502064,0.8717284636436062
FullyConnected,layer_08,0.001,539120,534731,538547,538547,0.10628431518029391,0.10628431518029391,0.814104466538057
FullyConnected,layer_08,0.002,539120,534731,538050,538050,0.19847158332096937,0.19847158332096937,0.814104466538057
FullyConnected,layer_08,0.004,539120,534731,537001,537001,0.3930479299599332,0.3930479299599332,0.814104466538057
FullyConnected,layer_09,0.001,536506,532825,535762,535895,0.13867505675612124,0.11388502644891219,0.6861060267732366
FullyConnected,layer_09,0.002,536506,532825,534693,534960,0.3379272552403889,0.2881608034206562,0.6861060267732366
FullyConnected,layer_09,0.004,536506,532825,533397,533777,0.579490257331694,0.5086615993110999,0.6861060267732366
