topology,layer,policy,tau,a2a,wall
Switch,layer_02,raw,,3506756,391646073
Switch,layer_02,offline,,3072461,282695827
Switch,layer_02,online_global,0.001,3232636,327937426
Switch,layer_02,online_global,0.002,3208850,319668218
Switch,layer_02,online_global,0.004,3217608,294270598
Switch,layer_02,online_local,0.001,3272915,336387086
Switch,layer_02,online_local,0.002,3165195,310512349
Switch,layer_02,online_local,0.004,3146328,283103999
Switch,layer_03,raw,,3355048,353492286
Switch,layer_03,offline,,3140255,280959475
Switch,layer_03,online_global,0.001,3321785,346233286
Switch,layer_03,online_global,0.002,3232342,327261760
Switch,layer_03,online_global,0.004,3085199,291165893
Switch,layer_03,online_local,0.001,3277240,336703346
Switch,layer_03,online_local,0.002,3197990,319869322
Switch,layer_03,online_local,0.004,3094583,294988738
Switch,layer_04,raw,,3256670,379966284
Switch,layer_04,offline,,3199298,300801999
Switch,layer_04,online_global,0.001,3254928,374364297
Switch,layer_04,online_global,0.002,3242783,369643489
Switch,layer_04,online_global,0.004,3268640,362623761
Switch,layer_04,online_local,0.001,3249244,373413372
Switch,layer_04,online_local,0.002,3262060,374355780
Switch,layer_04,online_local,0.004,3272150,363090493
Switch,layer_05,raw,,3215447,322665599
Switch,layer_05,offline,,3140876,284280331
Switch,layer_05,online_global,0.001,3200052,319526121
Switch,layer_05,online_global,0.002,3163299,311820323
Switch,layer_05,online_global,0.004,3168719,312865562
Switch,layer_05,online_local,0.001,3201256,319722680
Switch,layer_05,online_local,0.002,3171179,313386105
Switch,layer_05,online_local,0.004,3136382,306449495
Switch,layer_06,raw,,3301799,343906353
Switch,layer_06,offline,,3117654,297625685
Switch,layer_06,online_global,0.001,3283508,340097128
Switch,layer_06,online_global,0.002,3267576,336711725
Switch,layer_06,online_global,0.004,3231530,329215357
Switch,layer_06,online_local,0.001,3287568,340825205
Switch,layer_06,online_local,0.002,3275289,338088919
Switch,layer_06,online_local,0.004,3245987,331766519
Switch,layer_07,raw,,3262333,346011464
Switch,layer_07,offline,,3226641,307120372
Switch,layer_07,online_global,0.001,3256438,344316972
Switch,layer_07,online_global,0.002,3250798,342641550
Switch,layer_07,online_global,0.004,3239794,339447507
Switch,layer_07,online_local,0.001,3257643,344721673
Switch,layer_07,online_local,0.002,3252957,343589380
Switch,layer_07,online_local,0.004,3241051,340825172
Switch,layer_08,raw,,3390434,342639477
Switch,layer_08,offline,,3216213,300950555
Switch,layer_08,online_global,0.001,3308934,341233294
Switch,layer_08,online_global,0.002,3297623,338301486
Switch,layer_08,online_global,0.004,3280459,332882721
Switch,layer_08,online_local,0.001,3300997,339634648
Switch,layer_08,online_local,0.002,3297740,338489175
Switch,layer_08,online_local,0.004,3285034,334604142
Switch,layer_09,raw,,3269050,342746636
Switch,layer_09,offline,,3302993,304367184
Switch,layer_09,online_global,0.001,3261326,340609781
Switch,layer_09,online_global,0.002,3255353,338705492
Switch,layer_09,online_global,0.004,3242382,334606728
Switch,layer_09,online_local,0.001,3260065,340129841
Switch,layer_09,online_local,0.002,3263991,340313388
Switch,layer_09,online_local,0.004,3249019,335933682
Ring,layer_02,raw,,3650972,415844351
Ring,layer_02,offline,,3432781,308115617
Ring,layer_02,online_global,0.001,3433176,352483929
Ring,layer_02,online_global,0.002,3514759,341516438
Ring,layer_02,online_global,0.004,3435429,320871939
Ring,layer_02,online_local,0.001,3367761,352830658
Ring,layer_02,online_local,0.002,3521840,343513079
Ring,layer_02,online_local,0.004,3440723,324931204
Ring,layer_03,raw,,3545543,383904007
Ring,layer_03,offline,,3506158,332943768
Ring,layer_03,online_global,0.001,3594250,375688453
Ring,layer_03,online_global,0.002,3601076,363562789
Ring,layer_03,online_global,0.004,3579757,340784678
Ring,layer_03,online_local,0.001,3585086,375819831
Ring,layer_03,online_local,0.002,3539373,354180131
Ring,layer_03,online_local,0.004,3505183,333248178
Ring,layer_04,raw,,3597487,399162646
Ring,layer_04,offline,,3509036,321277014
Ring,layer_04,online_global,0.001,3497357,394278950
Ring,layer_04,online_global,0.002,3505174,391763873
Ring,layer_04,online_global,0.004,3468281,382856155
Ring,layer_04,online_local,0.001,3497027,393852118
Ring,layer_04,online_local,0.002,3507021,391044609
Ring,layer_04,online_local,0.004,3631935,385181948
Ring,layer_05,raw,,3551127,377599519
Ring,layer_05,offline,,3476978,324397496
Ring,layer_05,online_global,0.001,3518020,365428023
Ring,layer_05,online_global,0.002,3520820,361573263
Ring,layer_05,online_global,0.004,3457216,345737415
Ring,layer_05,online_local,0.001,3512424,366165526
Ring,layer_05,online_local,0.002,3512389,363449448
Ring,layer_05,online_local,0.004,3516927,358197446
Ring,layer_06,raw,,3606398,389262692
Ring,layer_06,offline,,3571081,334320108
Ring,layer_06,online_global,0.001,3599669,385236740
Ring,layer_06,online_global,0.002,3555473,381242496
Ring,layer_06,online_global,0.004,3479804,365164917
Ring,layer_06,online_local,0.001,3596685,384799443
Ring,layer_06,online_local,0.002,3548386,380724986
Ring,layer_06,online_local,0.004,3468208,366549929
Ring,layer_07,raw,,3527010,377155359
Ring,layer_07,offline,,3469939,321562766
Ring,layer_07,online_global,0.001,3530861,375904785
Ring,layer_07,online_global,0.002,3534986,374695037
Ring,layer_07,online_global,0.004,3542193,372022839
Ring,layer_07,online_local,0.001,3531225,376040552
Ring,layer_07,online_local,0.002,3535275,374946211
Ring,layer_07,online_local,0.004,3541870,372743632
Ring,layer_08,raw,,3445718,369964241
Ring,layer_08,offline,,3390961,319246078
Ring,layer_08,online_global,0.001,3446059,367416623
Ring,layer_08,online_global,0.002,3445012,364996732
Ring,layer_08,online_global,0.004,3504263,360226380
Ring,layer_08,online_local,0.001,3443332,367593242
Ring,layer_08,online_local,0.002,3440148,365419179
Ring,layer_08,online_local,0.004,3434865,360905085
Ring,layer_09,raw,,3481973,362050257
Ring,layer_09,offline,,3491721,336084644
Ring,layer_09,online_global,0.001,3468489,363096067
Ring,layer_09,online_global,0.002,3461566,360899013
Ring,layer_09,online_global,0.004,3458998,356364780
Ring,layer_09,online_local,0.001,3550862,362543671
Ring,layer_09,online_local,0.002,3473730,363686384
Ring,layer_09,online_local,0.004,3460051,359337898
FullyConnected,layer_02,raw,,1314518,132228511
FullyConnected,layer_02,offline,,1057293,98798064
FullyConnected,layer_02,online_global,0.001,1190828,115921519
FullyConnected,layer_02,online_global,0.002,1122046,107098273
FullyConnected,layer_02,online_global,0.004,1052487,98379307
FullyConnected,layer_02,online_local,0.001,1193078,116221663
FullyConnected,layer_02,online_local,0.002,1126167,107631269
FullyConnected,layer_02,online_local,0.004,1058705,99236544
FullyConnected,layer_03,raw,,1208452,117265435
FullyConnected,layer_03,offline,,1056987,98769470
FullyConnected,layer_03,online_global,0.001,1167346,112178176
FullyConnected,layer_03,online_global,0.002,1129429,107475479
FullyConnected,layer_03,online_global,0.004,1070606,100268136
FullyConnected,layer_03,online_local,0.001,1169827,112514659
FullyConnected,layer_03,online_local,0.002,1135666,108283027
FullyConnected,layer_03,online_local,0.004,1082298,101926419
FullyConnected,layer_04,raw,,1236642,121648766
FullyConnected,layer_04,offline,,1057370,98805351
FullyConnected,layer_04,online_global,0.001,1223252,119823539
FullyConnected,layer_04,online_global,0.002,1211122,118163450
FullyConnected,layer_04,online_global,0.004,1186859,115011482
FullyConnected,layer_04,online_local,0.001,1223748,119929215
FullyConnected,layer_04,online_local,0.002,1212056,118355475
FullyConnected,layer_04,online_local,0.004,1188424,115302914
FullyConnected,layer_05,raw,,1165079,112444874
FullyConnected,layer_05,offline,,1066145,99625234
FullyConnected,layer_05,online_global,0.001,1155884,111258708
FullyConnected,layer_05,online_global,0.002,1147398,110174144
FullyConnected,layer_05,online_global,0.004,1130195,108002678
FullyConnected,layer_05,online_local,0.001,1156991,111405431
FullyConnected,layer_05,online_local,0.002,1149725,110464863
FullyConnected,layer_05,online_local,0.004,1134636,108560496
FullyConnected,layer_06,raw,,1188214,115307347
FullyConnected,layer_06,offline,,1058631,98923092
FullyConnected,layer_06,online_global,0.001,1179555,114176050
FullyConnected,layer_06,online_global,0.002,1171543,113146814
FullyConnected,layer_06,online_global,0.004,1154203,110938668
FullyConnected,layer_06,online_local,0.001,1180738,114300640
FullyConnected,layer_06,online_local,0.002,1173985,113413212
FullyConnected,layer_06,online_local,0.004,1158935,111456698
FullyConnected,layer_07,raw,,1171773,113344098
FullyConnected,layer_07,offline,,1057064,98776942
FullyConnected,layer_07,online_global,0.001,1166203,112611591
FullyConnected,layer_07,online_global,0.002,1161036,111948282
FullyConnected,layer_07,online_global,0.004,1149878,110519704
