topology,layer,raw_comm,offline_comm,online_global_comm,online_local_comm,online_global_reduction_pct,offline_reduction_pct,online_local_reduction_pct
Switch,layer_02,1633121,1512386,1572942,1571854,3.684907609417798,7.3928998524910305,3.7515285150334865
Switch,layer_03,1615096,1502628,1514091,1509655,6.253807823188218,6.963548915977746,6.52846641933359
Switch,layer_04,1684126,1609630,1643259,1643477,2.426599909982985,4.42342200049165,2.4136555103359214
Switch,layer_05,1551314,1520586,1514952,1569073,2.343948420500297,1.9807724290504702,-1.1447714647066842
Switch,layer_06,1608733,1592892,1640461,1645963,-1.9722352932400877,0.9846879500824524,-2.3142435693182195
Switch,layer_07,1644627,1643656,1636331,1576339,0.5044304878856987,0.05904074297697903,4.152187699703336
Switch,layer_08,1629683,1610342,1565152,1620550,3.9597271371180742,1.1867952233655221,0.5604157372936958
Switch,layer_09,1653688,1628352,1493623,1576982,9.679274445965625,1.5320906966731385,4.638480777510634
Ring,layer_02,1734330,1647924,1719763,1792150,0.8399208916411549,4.982096832782689,-3.3338522657164527
Ring,layer_03,1754499,1781814,1795324,1787009,-2.3268750794386284,-1.5568546918522053,-1.8529506143919239
Ring,layer_04,1768422,1718697,1720799,1722090,2.692965819244497,2.811828850805975,2.6199628821627408
Ring,layer_05,1816454,1735748,1823280,1791956,-0.37578711049111035,4.443052232536582,1.3486716426620249
Ring,layer_06,1821520,1788907,1792206,1721386,1.6093152971144997,1.7904277746058184,5.497276999429046
Ring,layer_07,1792796,1720454,1715831,1787478,4.293014933098915,4.035149565260077,0.2966316301464267
Ring,layer_08,1760680,1708351,1780585,1771874,-1.1305291137515106,2.9720903287366207,-0.6357770861258105
Ring,layer_09,1746684,1798880,1729301,1735293,0.9952000476331158,-2.988290955891282,0.6521500168318983
FullyConnected,layer_02,550829,528646,525957,525252,4.51537591521144,4.027202634574434,4.643364819208862
FullyConnected,layer_03,535342,528493,527464,525957,1.471582651837522,1.2793690762166965,1.7530849438302964
FullyConnected,layer_04,538317,528685,525653,525768,2.3525171971161996,1.7892802939531882,2.3311543198524243
FullyConnected,layer_05,540397,533072,531718,526568,1.6060414843161563,1.3554849490282184,2.5590445542813867
FullyConnected,layer_06,539004,529315,528779,527139,1.897017461837014,1.7975747860869307,2.201282365251467
FullyConnected,layer_07,538241,528533,525576,525443,2.3530351645452474,1.8036530104544202,2.3777452851046266
FullyConnected,layer_08,539120,531126,529028,529028,1.8719394568927128,1.4827867636147851,1.8719394568927128
FullyConnected,layer_09,536506,528437,526092,526377,1.9410780121750681,1.503990635705843,1.887956518659628
