layer,policy,tau,peak,frac
layer_02,online_global,0.001,1.253056,0.113012
layer_02,online_local,0.001,1.256128,0.112356
layer_02,online_global,0.002,1.135584,0.168236
layer_02,online_local,0.002,1.141312,0.167812
layer_02,online_global,0.004,1.000448,0.22454
layer_02,online_local,0.004,1.01472,0.223736
layer_03,online_global,0.001,1.208384,0.026864
layer_03,online_local,0.001,1.211264,0.026864
layer_03,online_global,0.002,1.142112,0.050572
layer_03,online_local,0.002,1.149984,0.050292
layer_03,online_global,0.004,1.034336,0.091264
layer_03,online_local,0.004,1.055776,0.090572
layer_04,online_global,0.001,1.3184,0.011196
layer_04,online_local,0.001,1.318464,0.01124
layer_04,online_global,0.002,1.297824,0.02156
layer_04,online_local,0.002,1.298016,0.021516
layer_04,online_global,0.004,1.256,0.04226
layer_04,online_local,0.004,1.256672,0.04202
layer_05,online_global,0.001,1.168576,0.007516
layer_05,online_local,0.001,1.171008,0.00758
layer_05,online_global,0.002,1.15488,0.01452
layer_05,online_local,0.002,1.15984,0.014492
layer_05,online_global,0.004,1.1256,0.02932
layer_05,online_local,0.004,1.135232,0.028992
layer_06,online_global,0.001,1.220928,0.00674
layer_06,online_local,0.001,1.222944,0.006596
layer_06,online_global,0.002,1.206976,0.013252
layer_06,online_local,0.002,1.211168,0.012952
layer_06,online_global,0.004,1.17664,0.02658
layer_06,online_local,0.004,1.1848,0.026076
layer_07,online_global,0.001,1.19792,0.005972
layer_07,online_local,0.001,1.198912,0.005904
layer_07,online_global,0.002,1.189664,0.011432
layer_07,online_local,0.002,1.191872,0.011484
layer_07,online_global,0.004,1.171872,0.02264
layer_07,online_local,0.004,1.176704,0.02288
layer_08,online_global,0.001,1.191104,0.006244
layer_08,online_local,0.001,1.193376,0.00624
layer_08,online_global,0.002,1.178272,0.012328
layer_08,online_local,0.002,1.182848,0.012356
layer_08,online_global,0.004,1.152704,0.024212
layer_08,online_local,0.004,1.161568,0.024284
layer_09,online_global,0.001,1.16832,0.006992
layer_09,online_local,0.001,1.16832,0.006968
layer_09,online_global,0.002,1.158848,0.013352
layer_09,online_local,0.002,1.159488,0.013456
layer_09,online_global,0.004,1.138464,0.02626
layer_09,online_local,0.004,1.140576,0.02628
